ARI(y),Rank,Depth,Date,Event,Percentile,EventHrs,Records,Maximum
0.41,282,2.05,1/11/1900 16:00,1,96.2,13,13,0.25
0.06,1931,0.8,1/19/1900 14:00,2,74.1,37,21,0.31
0.02,4655,0.29,1/28/1900 17:00,3,37.6,9,9,0.07
0.06,1879,0.82,2/4/1900 19:00,4,74.8,9,9,0.24
0.03,3580,0.44,2/8/1900 5:00,5,52,9,9,0.09
0.02,6703,0.13,2/12/1900 18:00,6,10.2,3,3,0.06
0.07,1579,0.92,2/13/1900 11:00,7,78.9,1,1,0.92
0.03,4249,0.34,2/21/1900 22:00,8,43.1,10,10,0.09
0.02,4898,0.27,3/1/1900 7:00,9,34.4,11,8,0.09
0.02,4690,0.29,3/6/1900 7:00,10,37.2,8,8,0.07
0.03,3831,0.4,3/16/1900 0:00,11,48.7,1,1,0.4
0.06,1926,0.8,3/16/1900 8:00,12,74.2,1,1,0.8
0.03,4453,0.32,3/19/1900 11:00,13,40.3,12,9,0.09
0.02,6939,0.12,3/26/1900 19:00,14,7,3,3,0.06
0.02,5164,0.24,3/29/1900 23:00,15,30.8,7,7,0.06
0.03,3635,0.43,4/11/1900 21:00,16,51.3,13,12,0.11
0.04,3298,0.48,4/17/1900 4:00,17,55.8,9,9,0.11
0.02,7042,0.11,4/18/1900 0:00,18,5.6,5,4,0.06
0.06,1932,0.8,4/18/1900 13:00,19,74.1,18,16,0.2
0.02,7008,0.12,4/21/1900 17:00,20,6.1,11,8,0.04
0.03,4085,0.36,5/3/1900 18:00,21,45.3,5,4,0.2
1.49,77,3.11,5/18/1900 11:00,22,99,33,22,0.46
0.03,3339,0.48,5/24/1900 18:00,23,55.3,23,17,0.08
0.04,2970,0.54,6/2/1900 17:00,24,60.2,3,3,0.31
0.03,3518,0.45,6/8/1900 16:00,25,52.9,4,3,0.42
0.1,1111,1.13,6/16/1900 19:00,26,85.1,21,18,0.15
0.02,4945,0.27,6/27/1900 20:00,27,33.7,2,2,0.19
0.02,5463,0.22,6/30/1900 0:00,28,26.8,2,2,0.11
0.02,5716,0.2,7/7/1900 20:00,29,23.4,2,2,0.12
0.02,6207,0.16,7/8/1900 16:00,30,16.8,2,2,0.12
0.06,1924,0.8,7/12/1900 18:00,31,74.2,6,5,0.47
0.04,2718,0.59,7/26/1900 3:00,32,63.6,13,7,0.41
0.05,2509,0.64,7/30/1900 8:00,33,66.4,10,10,0.2
0.02,7241,0.1,8/6/1900 22:00,34,3,1,1,0.1
0.04,3193,0.5,8/7/1900 21:00,35,57.2,1,1,0.5
0.03,4518,0.31,8/16/1900 3:00,36,39.5,3,3,0.16
0.04,3121,0.51,8/18/1900 17:00,37,58.2,3,3,0.45
0.02,7424,0.1,8/20/1900 16:00,38,0.5,2,2,0.08
0.03,3957,0.38,8/22/1900 11:00,39,47,7,5,0.16
0.11,1052,1.16,8/23/1900 22:00,40,85.9,10,6,0.51
0.04,2722,0.59,8/24/1900 20:00,41,63.5,3,3,0.43
3.51,30,3.87,9/15/1900 17:00,42,99.6,13,13,1.58
0.72,161,2.38,9/30/1900 6:00,43,97.9,14,14,0.98
0.04,2582,0.62,10/8/1900 5:00,44,65.4,3,3,0.32
0.04,2753,0.59,10/8/1900 15:00,45,63.1,20,12,0.18
0.17,672,1.44,10/13/1900 20:00,46,91,15,9,0.37
0.02,6105,0.17,10/23/1900 21:00,47,18.2,8,7,0.05
0.04,2682,0.6,11/2/1900 0:00,48,64.1,3,3,0.51
0.03,3436,0.46,11/3/1900 4:00,49,54,14,14,0.07
0.02,7412,0.1,11/7/1900 22:00,50,0.7,6,2,0.08
0.02,6446,0.15,11/8/1900 17:00,51,13.6,15,11,0.03
0.03,4490,0.31,11/24/1900 21:00,52,39.8,14,11,0.1
0.26,450,1.71,11/25/1900 17:00,53,94,14,12,0.65
0.19,598,1.52,12/4/1900 4:00,54,92,15,14,0.26
0.02,5841,0.19,12/21/1900 14:00,55,21.7,4,4,0.07
0.02,7406,0.1,12/28/1900 8:00,56,0.8,5,4,0.04
0.04,2777,0.58,12/30/1900 19:00,57,62.8,17,14,0.12
0.03,4011,0.38,1/10/1901 12:00,58,46.3,9,9,0.12
0.1,1139,1.12,1/11/1901 7:00,59,84.7,25,25,0.09
0.03,3351,0.48,1/24/1901 21:00,60,55.1,19,18,0.06
0.02,4812,0.28,1/30/1901 9:00,61,35.5,11,11,0.03
0.06,2018,0.77,2/3/1901 18:00,62,73,17,13,0.18
0.02,7015,0.12,2/9/1901 8:00,63,6,6,6,0.04
0.02,7398,0.1,3/4/1901 17:00,64,0.9,9,4,0.05
0.02,5122,0.25,3/9/1901 8:00,65,31.4,12,9,0.05
0.14,807,1.33,3/10/1901 20:00,66,89.2,14,11,0.37
0.12,988,1.19,3/20/1901 17:00,67,86.8,17,13,0.2
0.02,7049,0.11,3/25/1901 18:00,68,5.5,8,6,0.05
0.02,5844,0.19,3/26/1901 13:00,69,21.7,10,6,0.07
0.31,377,1.83,4/2/1901 22:00,70,95,33,26,0.27
0.03,3737,0.41,4/6/1901 5:00,71,49.9,14,10,0.1
0.02,6716,0.13,4/15/1901 15:00,72,10,10,7,0.03
0.07,1751,0.87,4/20/1901 8:00,73,76.5,22,20,0.23
0.12,977,1.2,4/24/1901 1:00,74,86.9,27,21,0.22
0.02,7387,0.1,4/25/1901 10:00,75,1,5,5,0.04
0.02,5500,0.21,5/3/1901 0:00,76,26.3,3,3,0.12
0.03,4108,0.36,5/9/1901 4:00,77,45,7,6,0.15
0.14,826,1.31,5/10/1901 2:00,78,88.9,17,12,0.47
0.03,3922,0.39,5/11/1901 15:00,79,47.4,7,3,0.24
0.02,7062,0.11,5/13/1901 2:00,80,5.4,3,3,0.06
0.02,5667,0.2,5/18/1901 4:00,81,24.1,3,3,0.14
0.02,6485,0.14,5/22/1901 19:00,82,13.1,3,3,0.09
0.02,5606,0.2,5/24/1901 22:00,83,24.9,5,5,0.09
0.02,5229,0.24,5/26/1901 14:00,84,29.9,15,8,0.09
0.02,5327,0.23,5/27/1901 12:00,85,28.6,5,5,0.08
0.03,4118,0.36,5/29/1901 7:00,86,44.8,16,5,0.15
0.02,6630,0.13,5/31/1901 9:00,87,11.2,5,5,0.05
0.03,3377,0.47,6/7/1901 12:00,88,54.8,5,5,0.32
0.02,4920,0.27,6/15/1901 5:00,89,34.1,10,10,0.09
0.02,5226,0.24,6/21/1901 13:00,90,30,9,4,0.12
0.09,1337,1.02,7/4/1901 14:00,91,82.1,8,4,0.54
0.04,2805,0.57,7/6/1901 19:00,92,62.4,4,4,0.36
0.03,3440,0.46,7/7/1901 21:00,93,53.9,3,3,0.37
0.02,5363,0.23,7/11/1901 19:00,94,28.1,4,4,0.12
0.02,5173,0.24,7/13/1901 14:00,95,30.7,12,5,0.09
0.02,6391,0.15,7/14/1901 13:00,96,14.4,2,2,0.11
0.05,2562,0.63,7/17/1901 19:00,97,65.7,5,5,0.24
0.07,1699,0.88,7/25/1901 20:00,98,77.2,3,3,0.38
0.04,2694,0.6,8/6/1901 7:00,99,63.9,26,17,0.08
0.02,6751,0.13,8/7/1901 16:00,100,9.5,1,1,0.13
0.1,1142,1.12,8/12/1901 7:00,101,84.7,14,11,0.28
0.08,1434,0.98,8/15/1901 4:00,102,80.8,17,9,0.36
8.53,17,4.71,8/18/1901 5:00,103,99.8,40,24,0.81
0.04,2928,0.55,8/23/1901 10:00,104,60.8,3,3,0.41
0.12,959,1.21,8/24/1901 9:00,105,87.2,6,6,0.45
0.03,3364,0.47,9/1/1901 1:00,106,54.9,5,3,0.35
0.02,5642,0.2,9/2/1901 0:00,107,24.4,4,4,0.1
0.02,5436,0.22,9/3/1901 16:00,108,27.2,2,2,0.19
0.02,4799,0.28,9/11/1901 0:00,109,35.7,7,4,0.16
0.09,1271,1.05,9/11/1901 17:00,110,83,5,5,0.68
0.04,3176,0.51,9/15/1901 18:00,111,57.4,2,2,0.42
0.03,4391,0.33,9/17/1901 5:00,112,41.2,14,7,0.1
0.02,5113,0.25,9/18/1901 10:00,113,31.5,10,10,0.05
0.03,4563,0.31,9/28/1901 21:00,114,38.9,13,8,0.11
0.03,4023,0.37,10/2/1901 21:00,115,46.1,5,4,0.32
0.1,1203,1.09,10/13/1901 3:00,116,83.9,44,26,0.14
0.02,7090,0.11,11/12/1901 13:00,117,5,4,4,0.05
0.74,157,2.4,11/23/1901 15:00,118,97.9,29,23,0.44
0.07,1738,0.87,12/3/1901 8:00,119,76.7,15,12,0.19
0.02,5902,0.18,12/10/1901 1:00,120,20.9,6,5,0.06
0.1,1115,1.13,12/14/1901 22:00,121,85.1,9,7,0.39
0.02,6812,0.13,12/17/1901 9:00,122,8.7,10,8,0.03
0.02,6793,0.13,12/23/1901 19:00,123,9,9,7,0.04
0.07,1678,0.89,12/26/1901 16:00,124,77.5,16,15,0.12
1.75,66,3.26,12/28/1901 21:00,125,99.1,38,34,0.34
0.02,7336,0.1,1/3/1902 3:00,126,1.7,5,5,0.03
0.02,5653,0.2,1/8/1902 7:00,127,24.2,11,9,0.04
0.02,7299,0.1,1/19/1902 3:00,128,2.2,2,2,0.05
0.09,1263,1.06,1/21/1902 16:00,129,83.1,18,10,0.18
0.04,2796,0.58,1/26/1902 14:00,130,62.5,25,23,0.07
0.02,5789,0.19,1/30/1902 0:00,131,22.4,1,1,0.19
0.02,5005,0.26,1/30/1902 14:00,132,32.9,1,1,0.26
0.02,6388,0.15,1/31/1902 19:00,133,14.4,1,1,0.15
0.03,3566,0.44,2/1/1902 16:00,134,52.2,24,20,0.08
0.1,1168,1.1,2/16/1902 23:00,135,84.4,19,19,0.1
0.25,461,1.69,2/21/1902 3:00,136,93.8,22,22,0.16
0.03,4478,0.32,2/22/1902 10:00,137,40,13,9,0.07
0.03,3647,0.43,2/25/1902 12:00,138,51.1,16,12,0.08
0.16,722,1.4,2/28/1902 8:00,139,90.3,9,7,1.11
0.03,3979,0.38,3/2/1902 4:00,140,46.7,8,7,0.12
0.13,902,1.24,3/4/1902 23:00,141,87.9,25,25,0.1
0.03,3794,0.41,3/8/1902 16:00,142,49.2,17,15,0.06
0.04,3303,0.48,3/16/1902 19:00,143,55.7,15,7,0.23
0.02,5362,0.23,3/28/1902 8:00,144,28.1,10,9,0.05
0.05,2181,0.73,3/29/1902 0:00,145,70.8,17,9,0.19
0.02,7103,0.11,3/30/1902 17:00,146,4.8,2,2,0.07
0.02,5658,0.2,4/6/1902 14:00,147,24.2,7,6,0.05
0.18,652,1.46,4/8/1902 3:00,148,91.3,16,15,0.22
0.16,724,1.4,4/29/1902 3:00,149,90.3,27,21,0.3
0.02,6808,0.13,5/3/1902 0:00,150,8.8,2,2,0.11
0.03,4451,0.32,5/20/1902 7:00,151,40.4,3,3,0.16
