Event,max,min,mean
1,-Inf,Inf,NA
2,-Inf,Inf,NA
3,-Inf,Inf,NA
4,-Inf,Inf,NA
5,-Inf,Inf,NA
6,-Inf,Inf,NA
7,-Inf,Inf,NA
8,-Inf,Inf,NA
9,-Inf,Inf,NA
10,-Inf,Inf,NA
11,-Inf,Inf,NA
12,-Inf,Inf,NA
13,-Inf,Inf,NA
14,-Inf,Inf,NA
15,-Inf,Inf,NA
16,-Inf,Inf,NA
17,-Inf,Inf,NA
18,-Inf,Inf,NA
19,-Inf,Inf,NA
20,-Inf,Inf,NA
21,-Inf,Inf,NA
22,-Inf,Inf,NA
23,-Inf,Inf,NA
24,-Inf,Inf,NA
25,-Inf,Inf,NA
26,-Inf,Inf,NA
27,-Inf,Inf,NA
28,-Inf,Inf,NA
29,-Inf,Inf,NA
30,-Inf,Inf,NA
31,-Inf,Inf,NA
32,-Inf,Inf,NA
33,-Inf,Inf,NA
34,-Inf,Inf,NA
35,-Inf,Inf,NA
36,-Inf,Inf,NA
37,-Inf,Inf,NA
38,-Inf,Inf,NA
39,-Inf,Inf,NA
40,-Inf,Inf,NA
41,-Inf,Inf,NA
42,-Inf,Inf,NA
43,-Inf,Inf,NA
44,-Inf,Inf,NA
45,-Inf,Inf,NA
46,-Inf,Inf,NA
47,-Inf,Inf,NA
48,-Inf,Inf,NA
49,-Inf,Inf,NA
50,-Inf,Inf,NA
51,-Inf,Inf,NA
52,-Inf,Inf,NA
53,-Inf,Inf,NA
54,-Inf,Inf,NA
55,-Inf,Inf,NA
56,-Inf,Inf,NA
57,-Inf,Inf,NA
58,-0.495946507,-0.717839687,-0.5679506841
59,-0.153959107,-0.79628706,-0.500836770423077
60,0.204653856,-0.724109831,-0.1147522044
61,-0.803950952,-1.055701423,-0.906188521833333
62,-0.692682031,-1.262901412,-0.917233282444444
63,-1.345610128,-1.438823866,-1.37933405285714
64,-1.098751839,-1.199873773,-1.1679101524
65,-1.148765105,-1.566115232,-1.30789500323077
66,1.020339684,-0.732107169,0.267754146333333
67,0.325655558,-0.046119046,0.209906807555556
68,-0.215260168,-0.387635809,-0.318501250777778
69,0.319847653,0.230868279,0.289810652818182
70,1.633651427,0.279951069,1.11838254579412
71,0.634664166,0.361620648,0.546442351866667
72,-0.445803645,-0.507377957,-0.488256507818182
73,0.855419092,0.385841946,0.644094976347826
74,0.716991465,0.572786644,0.626635664607143
75,0.669542648,0.556738549,0.616506801333333
76,0.0318454,-0.213339387,-0.0880062195
77,0.212410327,0.130669587,0.176077046125
78,-0.013706639,-0.038822788,-0.0290481228333333
79,0.162364857,0.101323751,0.134609589625
80,0.296999326,0.251987907,0.2757282655
81,0.521238895,0.513950005,0.5187755445
82,0.405183627,0.395738806,0.40165316125
83,-0.321965079,-0.346357471,-0.3353416925
84,0.231683176,0.053593601,0.1447255158125
85,0.005794166,0.000887802,0.002832516
86,0.625833895,0.59521398,0.607450920235294
87,1.006605848,0.932593938,0.972478272833333
88,-0.119662815,-0.172174063,-0.147242348333333
89,-0.1800498,-0.210408253,-0.198648382818182
90,-0.071738092,-0.225832023,-0.1547366556
91,-0.253884925,-0.397301949,-0.323221176333333
92,0.046771263,-0.003603744,0.0211062724
93,-0.024270968,-0.110114,-0.0670305215
94,-0.120307198,-0.169112669,-0.1422100986
95,-0.107662335,-0.177770278,-0.139709805769231
96,-0.078885291,-0.100427726,-0.0895122683333333
97,-0.266728169,-0.269296236,-0.267634433166667
98,-0.049602602,-0.178411937,-0.113244543
99,0.417178611,-0.272718666,0.145064383037037
100,0.078374272,0.025105328,0.0517398
101,-0.256693535,-0.391617786,-0.2991281502
102,-0.04997288,-0.190589578,-0.0892552266111111
103,0.866164406,-0.700934927,-0.045069714195122
104,0.403249187,0.355183646,0.37918141425
105,0.390011682,0.195084699,0.293457568857143
106,0.594333054,0.522344552,0.558528048166667
107,0.570385847,0.50996771,0.540366336
108,0.380973869,0.36852944,0.374806477
109,-0.026955794,-0.040379983,-0.032917962375
110,0.00891745,-0.020288311,-0.007801097
111,0.29401314,0.230472526,0.262673197
112,0.03615682,-0.301139083,-0.0912336158666667
113,-0.074022549,-0.356228022,-0.213006929818182
114,0.498675521,0.407772751,0.469772903857143
115,0.268954669,0.112039979,0.1898464735
116,0.445409875,-0.65262378,0.0144244762444444
117,-0.598996638,-0.909936122,-0.7483260528
118,1.59151654,-0.466145174,0.882393273533333
119,-1.055443437,-1.428353608,-1.16546289475
120,0.025919301,-0.077671313,-0.00790975171428572
121,1.273140141,0.440711926,0.9627813672
122,1.653906564,1.133413345,1.37380640990909
123,-0.374039292,-0.606834378,-0.5071269452
124,-0.201701323,-0.620293957,-0.330226497058824
125,1.586369182,-0.198912581,1.05167750766667
126,-0.999127582,-1.487792765,-1.234649629
