"start","duration","depth","peak","end","td.min.hf","td.mean.hf","td.max.hf"
1901-01-10 12:00:00,9,0.38,0.12,1901-01-10 21:00:00,-3.054,-0.1751,1.745
1901-01-11 07:00:00,25,1.12,0.09,1901-01-12 08:00:00,-3.054,-0.4975,2.044
1901-01-24 21:00:00,19,0.48,0.06,1901-01-25 16:00:00,-3.054,-0.4252,2.644
1901-01-30 09:00:00,11,0.28,0.03,1901-01-30 20:00:00,-3.356,-0.772,1.644
1901-02-03 18:00:00,17,0.77,0.18,1901-02-04 11:00:00,-3.757,-1.55572222222222,1.243
1901-02-09 08:00:00,6,0.12,0.04,1901-02-09 14:00:00,-3.556,-2.41242857142857,-0.955
1901-03-04 17:00:00,9,0.1,0.05,1901-03-05 02:00:00,-3.655,-1.4754,1.043
1901-03-09 08:00:00,12,0.25,0.05,1901-03-09 20:00:00,-3.655,-1.45515384615385,0.545
1901-03-10 20:00:00,14,1.33,0.37,1901-03-11 10:00:00,-2.556,0.1648,2.946
1901-03-20 17:00:00,17,1.19,0.2,1901-03-21 10:00:00,-3.255,-0.233388888888889,3.245
1901-03-25 18:00:00,8,0.11,0.05,1901-03-26 02:00:00,-2.956,-0.778,1.844
1901-03-26 13:00:00,10,0.19,0.07,1901-03-26 23:00:00,-2.556,0.308363636363636,2.546
1901-04-02 22:00:00,33,1.83,0.27,1901-04-04 07:00:00,-2.054,1.27111764705882,4.544
1901-04-06 05:00:00,14,0.41,0.1,1901-04-06 19:00:00,-2.054,0.4914,2.746
1901-04-15 15:00:00,10,0.13,0.03,1901-04-16 01:00:00,-3.054,-0.373545454545455,2.146
1901-04-20 08:00:00,22,0.87,0.23,1901-04-21 06:00:00,-2.556,0.653391304347826,3.845
1901-04-24 01:00:00,27,1.2,0.22,1901-04-25 04:00:00,-2.156,0.494321428571429,3.543
1901-04-25 10:00:00,5,0.1,0.04,1901-04-25 15:00:00,-2.054,-0.538166666666667,1.145
1901-05-03 00:00:00,3,0.21,0.12,1901-05-03 03:00:00,1.644,2.3705,2.946
1901-05-09 04:00:00,7,0.36,0.15,1901-05-09 11:00:00,-1.555,0.982125,2.946
1901-05-10 02:00:00,17,1.31,0.47,1901-05-10 19:00:00,-2.356,0.383833333333333,2.746
1901-05-11 15:00:00,7,0.39,0.24,1901-05-11 22:00:00,-2.254,0.782125,2.346
1901-05-13 02:00:00,3,0.11,0.06,1901-05-13 05:00:00,-2.054,-1.3805,-0.856
1901-05-18 04:00:00,3,0.2,0.14,1901-05-18 07:00:00,-1.056,0.1445,1.345
1901-05-22 19:00:00,3,0.14,0.09,1901-05-22 22:00:00,-0.554,0.54475,1.644
1901-05-24 22:00:00,5,0.2,0.09,1901-05-25 03:00:00,-2.756,-1.47216666666667,0.144
1901-05-26 14:00:00,15,0.24,0.09,1901-05-27 05:00:00,-2.556,-0.2616875,2.546
1901-05-27 12:00:00,5,0.23,0.08,1901-05-27 17:00:00,-2.654,-1.355,0.344
1901-05-29 07:00:00,16,0.36,0.15,1901-05-29 23:00:00,-2.254,0.674058823529412,3.445
1901-05-31 09:00:00,5,0.13,0.05,1901-05-31 14:00:00,-0.456,1.81216666666667,2.946
1901-06-07 12:00:00,5,0.47,0.32,1901-06-07 17:00:00,-2.556,-0.421666666666667,1.745
1901-06-15 05:00:00,10,0.27,0.09,1901-06-15 15:00:00,-3.255,-0.319181818181818,2.244
1901-06-21 13:00:00,9,0.24,0.12,1901-06-21 22:00:00,-3.156,0.1543,2.244
1901-07-04 14:00:00,8,1.02,0.54,1901-07-04 22:00:00,-3.054,-0.255111111111111,1.946
1901-07-06 19:00:00,4,0.57,0.36,1901-07-06 23:00:00,-2.254,-0.6156,1.043
1901-07-07 21:00:00,3,0.46,0.37,1901-07-08 00:00:00,-2.254,-1.08025,0.046
1901-07-11 19:00:00,4,0.23,0.12,1901-07-11 23:00:00,0.446,2.0852,3.045
1901-07-13 14:00:00,12,0.24,0.09,1901-07-14 02:00:00,-3.255,-0.0320769230769231,3.045
1901-07-14 13:00:00,2,0.15,0.11,1901-07-14 15:00:00,0.144,1.077,2.044
1901-07-17 19:00:00,5,0.63,0.24,1901-07-18 00:00:00,-3.757,-1.98883333333333,-0.354
1901-07-25 20:00:00,3,0.88,0.38,1901-07-25 23:00:00,1.844,2.2695,2.644
1901-08-06 07:00:00,26,0.6,0.08,1901-08-07 09:00:00,-3.356,0.200259259259259,2.946
1901-08-07 16:00:00,1,0.13,0.13,1901-08-07 17:00:00,-0.354,0.2955,0.945
1901-08-12 07:00:00,14,1.12,0.28,1901-08-12 21:00:00,-3.255,-0.9018,1.946
1901-08-15 04:00:00,17,0.98,0.36,1901-08-15 21:00:00,-3.156,-0.355111111111111,2.346
1901-08-18 05:00:00,40,4.71,0.81,1901-08-19 21:00:00,-3.556,-0.0016829268292683,3.543
1901-08-23 10:00:00,3,0.55,0.41,1901-08-23 13:00:00,-1.257,-0.255,0.745
1901-08-24 09:00:00,6,1.21,0.45,1901-08-24 15:00:00,-1.657,0.158571428571429,2.044
1901-09-01 01:00:00,5,0.47,0.35,1901-09-01 06:00:00,0.945,2.228,3.343
1901-09-02 00:00:00,4,0.2,0.1,1901-09-02 04:00:00,-1.056,1.504,3.245
1901-09-03 16:00:00,2,0.22,0.19,1901-09-03 18:00:00,2.644,2.911,3.245
1901-09-11 00:00:00,7,0.28,0.16,1901-09-11 07:00:00,-2.254,0.4825,2.946
1901-09-11 17:00:00,5,1.05,0.68,1901-09-11 22:00:00,-2.854,-1.489,0.144
1901-09-15 18:00:00,2,0.51,0.42,1901-09-15 20:00:00,-0.656,0.110333333333333,0.843
