start,duration,depth,peak,end,td.max.lf,td.min.lf,td.mean.lf,td.min.lf,td.mean.lf,td.max.lf
1900-01-11 16:00:00,13,2.05,0.25,1900-01-12 05:00:00,NA,NA,NA,NA,NA,NA
1900-01-19 14:00:00,37,0.8,0.31,1900-01-21 03:00:00,NA,NA,NA,NA,NA,NA
1900-01-28 17:00:00,9,0.29,0.07,1900-01-29 02:00:00,NA,NA,NA,NA,NA,NA
1900-02-04 19:00:00,9,0.82,0.24,1900-02-05 04:00:00,NA,NA,NA,NA,NA,NA
1900-02-08 05:00:00,9,0.44,0.09,1900-02-08 14:00:00,NA,NA,NA,NA,NA,NA
1900-02-12 18:00:00,3,0.13,0.06,1900-02-12 21:00:00,NA,NA,NA,NA,NA,NA
1900-02-13 11:00:00,1,0.92,0.92,1900-02-13 12:00:00,NA,NA,NA,NA,NA,NA
1900-02-21 22:00:00,10,0.34,0.09,1900-02-22 08:00:00,NA,NA,NA,NA,NA,NA
1900-03-01 07:00:00,11,0.27,0.09,1900-03-01 18:00:00,NA,NA,NA,NA,NA,NA
1900-03-06 07:00:00,8,0.29,0.07,1900-03-06 15:00:00,NA,NA,NA,NA,NA,NA
1900-03-16 00:00:00,1,0.4,0.4,1900-03-16 01:00:00,NA,NA,NA,NA,NA,NA
1900-03-16 08:00:00,1,0.8,0.8,1900-03-16 09:00:00,NA,NA,NA,NA,NA,NA
1900-03-19 11:00:00,12,0.32,0.09,1900-03-19 23:00:00,NA,NA,NA,NA,NA,NA
1900-03-26 19:00:00,3,0.12,0.06,1900-03-26 22:00:00,NA,NA,NA,NA,NA,NA
1900-03-29 23:00:00,7,0.24,0.06,1900-03-30 06:00:00,NA,NA,NA,NA,NA,NA
1900-04-11 21:00:00,13,0.43,0.11,1900-04-12 10:00:00,NA,NA,NA,NA,NA,NA
1900-04-17 04:00:00,9,0.48,0.11,1900-04-17 13:00:00,NA,NA,NA,NA,NA,NA
1900-04-18 00:00:00,5,0.11,0.06,1900-04-18 05:00:00,NA,NA,NA,NA,NA,NA
1900-04-18 13:00:00,18,0.8,0.2,1900-04-19 07:00:00,NA,NA,NA,NA,NA,NA
1900-04-21 17:00:00,11,0.12,0.04,1900-04-22 04:00:00,NA,NA,NA,NA,NA,NA
1900-05-03 18:00:00,5,0.36,0.2,1900-05-03 23:00:00,NA,NA,NA,NA,NA,NA
1900-05-18 11:00:00,33,3.11,0.46,1900-05-19 20:00:00,NA,NA,NA,NA,NA,NA
1900-05-24 18:00:00,23,0.48,0.08,1900-05-25 17:00:00,NA,NA,NA,NA,NA,NA
1900-06-02 17:00:00,3,0.54,0.31,1900-06-02 20:00:00,NA,NA,NA,NA,NA,NA
1900-06-08 16:00:00,4,0.45,0.42,1900-06-08 20:00:00,NA,NA,NA,NA,NA,NA
1900-06-16 19:00:00,21,1.13,0.15,1900-06-17 16:00:00,NA,NA,NA,NA,NA,NA
1900-06-27 20:00:00,2,0.27,0.19,1900-06-27 22:00:00,NA,NA,NA,NA,NA,NA
1900-06-30 00:00:00,2,0.22,0.11,1900-06-30 02:00:00,NA,NA,NA,NA,NA,NA
1900-07-07 20:00:00,2,0.2,0.12,1900-07-07 22:00:00,NA,NA,NA,NA,NA,NA
1900-07-08 16:00:00,2,0.16,0.12,1900-07-08 18:00:00,NA,NA,NA,NA,NA,NA
1900-07-12 18:00:00,6,0.8,0.47,1900-07-13 00:00:00,NA,NA,NA,NA,NA,NA
1900-07-26 03:00:00,13,0.59,0.41,1900-07-26 16:00:00,NA,NA,NA,NA,NA,NA
1900-07-30 08:00:00,10,0.64,0.2,1900-07-30 18:00:00,NA,NA,NA,NA,NA,NA
1900-08-06 22:00:00,1,0.1,0.1,1900-08-06 23:00:00,NA,NA,NA,NA,NA,NA
1900-08-07 21:00:00,1,0.5,0.5,1900-08-07 22:00:00,NA,NA,NA,NA,NA,NA
1900-08-16 03:00:00,3,0.31,0.16,1900-08-16 06:00:00,NA,NA,NA,NA,NA,NA
